,name,address,sido,gugun
232,서울영등포구여의도2호점,서울 영등포구 국제금융로,서울,영등포구
233,서울서초구잠원점,서울 서초구 나루터로,서울,서초구
234,서울영등포구신풍역점,서울 영등포구 대방천로,서울,영등포구
235,서울관악구인헌점,서울 관악구 인헌길,서울,관악구
236,서울서초구우면점,서울 서초구 형촌길,서울,서초구
237,서울송파구잠실본점,서울 송파구 백제고분로,서울,송파구
238,서울영등포구영등포푸르지오점,서울 영등포구 양산로,서울,영등포구
239,서울송파구석촌점,서울 송파구 가락로,서울,송파구
240,서울관악구봉천중앙점,서울 관악구 남부순환로,서울,관악구
241,서울송파구가락2점,서울 송파구 송이로,서울,송파구
242,서울송파구문정장지점,서울 송파구 새말로,서울,송파구
243,서울송파구오금점(B),서울 송파구 마천로,서울,송파구
244,서울금천구가산독산1동점,서울 금천구 가산로,서울,금천구
245,서울금천구독산점,서울 금천구 남부순환로,서울,금천구
246,서울송파구가락점,서울 송파구 문정로,서울,송파구
247,서울서초구방배본동점,서울 서초구 방배중앙로,서울,서초구
248,서울서초구반포2점,서울 서초구 강남대로,서울,서초구
249,서울서초구서초2점,서울 서초구 효령로,서울,서초구
250,서울강남구역삼충현점,서울 강남구 봉은사로,서울,강남구
251,서울서초구서초1호점,서울 서초구 효령로,서울,서초구
252,서울관악구신림남부점,서울 관악구 남부순환로,서울,관악구
253,서울관악구난곡점,서울 관악구 미성길,서울,관악구
254,서울강남구신사점,서울 강남구 논현로,서울,강남구
255,서울강남구도곡점,서울 강남구 도곡로,서울,강남구
256,서울송파구풍납점,서울 송파구 풍성로,서울,송파구
257,서울동작구사당이수점,서울 동작구 사당로,서울,동작구
258,서울관악구봉천현대점(B),서울 관악구 봉천로,서울,관악구
259,서울영등포구대림점(B),서울 영등포구 디지털로,서울,영등포구
260,서울송파구송파방이2점,서울 송파구 가락로,서울,송파구
261,서울서초구서초중앙점,서울 서초구 서초중앙로,서울,서초구
262,서울강남구논현1점,서울 강남구 강남대로,서울,강남구
263,서울금천구금천점,서울 금천구 은행나무로,서울,금천구
264,서울강남구청담점,서울 강남구 삼성로,서울,강남구
265,서울송파구위례점,서울 송파구 위례광장로,서울,송파구
266,서울강남구세곡자곡점,서울 강남구 자곡로,서울,강남구
267,서울동작구중대점,서울 동작구 흑석로,서울,동작구
268,서울동작구상도2호점(B),서울 동작구 성대로 ,서울,동작구
269,서울송파구잠실새내역점,서울 송파구 올림픽로,서울,송파구
270,서울영등포구신길점,서울 영등포구 가마산로,서울,영등포구
271,서울강남구수서점,서울 강남구 광평로,서울,강남구
272,경기과천시과천1점,경기 과천시 별양로,경기,과천시
273,서울관악구봉천점,서울 관악구 은천로,서울,관악구
274,서울강남구대치점,서울 강남구 삼성로,서울,강남구
